Property name,Property price,Property type,Property area,Property locality/Type (if locality not provided),Property link,Property City
Godrej Athena,₹ 59.21 L - 3.37 Cr,1 BHK,290.3 sq.ft.,1 BHK,https://www.99acres.com/godrej-athena-indira-nagar-bangalore-east-npxid-r402904,Bangalore
Konig Orange County,₹ 1.91 - 2.67 Cr,4 BHK,"2,400 - 3,350 sq.ft.",4 BHK,https://www.99acres.com/konig-orange-county-budigere-cross-bangalore-east-npxid-r396486,Bangalore
Zen Indraprastha by Pratham,₹ 1.27 - 2.8 Cr,2 BHK,"1,250 - 1,295 sq.ft.",2 BHK,https://www.99acres.com/zen-indraprastha-by-pratham-yeshwanthpur-bangalore-north-npxid-r55652,Bangalore
DSR Highland Greenz,₹ 72.99 L - 1.17 Cr,1 BHK,619 - 780 sq.ft.,1 BHK,https://www.99acres.com/dsr-highland-greenz-sarjapur-road-bangalore-east-npxid-r392369,Bangalore
Elegant Hermitage,₹ 84.41 L - 1.67 Cr,2 BHK,"1,206 - 1,332 sq.ft.",2 BHK,https://www.99acres.com/elegant-hermitage-rajarajeshwari-nagar-bangalore-west-npxid-r412165,Bangalore
Ivory at Brigade Orchards,₹ 35 - 76.57 L,1 BHK,306 - 452.08 sq.ft.,1 BHK,https://www.99acres.com/ivory-at-brigade-orchards-devanahalli-bangalore-north-npxid-r387343,Bangalore
Brigade Parkside North,₹ 85.01 - 95.81 L,1 BHK,696 - 711 sq.ft.,1 BHK,https://www.99acres.com/brigade-parkside-north-jalahalli-bangalore-north-npxid-r319957,Bangalore
Nayak Golden Fields,₹ 31.2 L - 1.04 Cr,Land,"1,200 - 4,000 sq.ft.",Land,https://www.99acres.com/nayak-golden-fields-devanahalli-bangalore-north-npxid-r354666,Bangalore
Teachers Layout,₹ 15.6 L - 1.56 Cr,Land,"1,200 - 12,000 sq.ft.",Land,https://www.99acres.com/teachers-layout-devanahalli-bangalore-north-npxid-r259559,Bangalore
Folium By Sumadhura Phase 2,₹ 1.8 - 3.13 Cr,3 BHK,"1,505 - 2,355 sq.ft.",3 BHK,https://www.99acres.com/folium-by-sumadhura-phase-2-whitefield-bangalore-east-npxid-r409341,Bangalore
Unique Grow Phase 2,₹ 76 - 86 L,2 BHK,"1,000 - 1,200 sq.ft.",2 BHK,https://www.99acres.com/unique-grow-phase-2-kr-puram-bangalore-east-npxid-r414436,Bangalore
Folium By Sumadhura Phase 1,₹ 1.25 - 2.15 Cr,1 BHK,372 - 641 sq.ft.,1 BHK,https://www.99acres.com/folium-by-sumadhura-phase-1-whitefield-bangalore-east-npxid-r386996,Bangalore
Sobha Insignia,₹ 2.74 - 4.97 Cr,3 BHK,"1,165 - 1,562 sq.ft.",3 BHK,https://www.99acres.com/sobha-insignia-bellandur-bangalore-east-npxid-r397854,Bangalore
Godrej Park Retreat,₹ 50.05 L - 2.87 Cr,1 BHK,368 - 625 sq.ft.,1 BHK,https://www.99acres.com/godrej-park-retreat-sarjapur-road-bangalore-east-npxid-r384290,Bangalore
Akruthi Spring Woods,₹ 45 - 56.25 L,Land,"1,200 - 1,500 sq.ft.",Land,https://www.99acres.com/akruthi-spring-woods-jigani-bangalore-south-npxid-r307841,Bangalore
Sattva Signet,₹ 80.32 L - 1.01 Cr,1 BHK,513 sq.ft.,1 BHK,https://www.99acres.com/sattva-signet-sarjapur-road-bangalore-east-npxid-r373591,Bangalore
Sai Platinum Greenfields,₹ 71 L - 1.12 Cr,2 BHK,"1,090 - 1,260 sq.ft.",2 BHK,https://www.99acres.com/sai-platinum-greenfields-8th-phase-jp-nagar-bangalore-south-npxid-r399072,Bangalore
Mahidhara Harmony,₹ 1.76 - 2.6 Cr,3 BHK,"2,005 - 2,034 sq.ft.",3 BHK,https://www.99acres.com/mahidhara-harmony-sarjapur-road-bangalore-east-npxid-r402421,Bangalore
Provident Park Square,₹ 47.88 L - 1.19 Cr,1 BHK,517 - 700 sq.ft.,1 BHK,https://www.99acres.com/provident-park-square-kanakapura-road-bangalore-south-npxid-r296293,Bangalore
Purva Atmosphere,₹ 1.4 - 3.1 Cr,2 BHK,"1,280 - 1,443 sq.ft.",2 BHK,https://www.99acres.com/purva-atmosphere-thanisandra-main-road-bangalore-north-npxid-r324633,Bangalore
Mahaveer Trident,₹ 48.2 - 96.81 L,2 BHK,"918 - 1,356 sq.ft.",2 BHK,https://www.99acres.com/mahaveer-trident-hosa-road-bangalore-south-npxid-r327811,Bangalore
Sobha Sentosa,₹ 76.17 L - 2.1 Cr,1 BHK,422.49 - 434.14 sq.ft.,1 BHK,https://www.99acres.com/sobha-sentosa-varthur-bangalore-east-npxid-r388894,Bangalore
Urban Jubilee Hills,₹ 60 - 75 L,Land,"1,200 - 1,500 sq.ft.",Land,https://www.99acres.com/urban-jubilee-hills-electronic-city-bangalore-south-npxid-r414261,Bangalore
SNN Raj Viviente,₹ 4.2 - 4.29 Cr,4 BHK,"3,891 - 4,000 sq.ft.",4 BHK,https://www.99acres.com/snn-raj-viviente-hulimavu-bangalore-south-npxid-r23442,Bangalore
Keerthi Krishna Viva,₹ 1.37 - 1.65 Cr,3 BHK,"1,285 - 1,565 sq.ft.",3 BHK,https://www.99acres.com/keerthi-krishna-viva-sarjapur-road-bangalore-east-npxid-r197671,Bangalore
Mahaveer Ranches,₹ 75 L - 2.13 Cr,2 BHK,"1,161 - 1,365 sq.ft.",2 BHK,https://www.99acres.com/mahaveer-ranches-hosa-road-bangalore-south-npxid-r32208,Bangalore
Suraksha Heritage Park,₹ 73.85 L - 1.15 Cr,2 BHK,"1,026 - 1,192 sq.ft.",2 BHK,https://www.99acres.com/suraksha-heritage-park-begur-road-bangalore-south-npxid-r379878,Bangalore
La Vivant,₹ 1.26 - 2.75 Cr,3 BHK,"1,800 sq.ft.",3 BHK,https://www.99acres.com/la-vivant-sarjapur-bangalore-east-npxid-r411449,Bangalore
Siddartha Solitaire,₹ 65 - 87.43 L,2 BHK,"1,115 - 1,180 sq.ft.",2 BHK,https://www.99acres.com/siddartha-solitaire-hosa-road-bangalore-south-npxid-r306151,Bangalore
Candeur Sunshine,₹ 71.18 L - 1 Cr,2 BHK,"1,130 - 1,380 sq.ft.",2 BHK,https://www.99acres.com/candeur-sunshine-hoodi-bangalore-east-npxid-r384516,Bangalore
Blue Berry Homes,₹ 39 - 72 L,1 BHK,635 - 670 sq.ft.,1 BHK,https://www.99acres.com/blue-berry-homes-hennur-road-bangalore-north-npxid-r383243,Bangalore
Century Ethos,₹ 3.36 - 7.23 Cr,3 BHK,"2,850 - 3,485 sq.ft.",3 BHK,https://www.99acres.com/century-ethos-hebbal-bangalore-north-npxid-r24044,Bangalore
Sattva Luxuria,₹ 3.65 Cr,3 BHK,"2,215 sq.ft.",3 BHK,https://www.99acres.com/sattva-luxuria-malleshwaram-bangalore-north-npxid-r1852,Bangalore
Bhartiya City Nikoo Homes 4,₹ 68 L - 3.06 Cr,1 BHK,699 sq.ft.,1 BHK,https://www.99acres.com/bhartiya-city-nikoo-homes-4-thanisandra-bangalore-north-npxid-r379387,Bangalore
2gTula,₹ 1.54 - 1.59 Cr,3 BHK,"1,825 - 1,883 sq.ft.",3 BHK,https://www.99acres.com/2gtula-hoodi-bangalore-east-npxid-r374972,Bangalore
Prudent Homes,₹ 42 - 53.2 L,2 BHK,"900 - 1,140 sq.ft.",2 BHK,https://www.99acres.com/prudent-homes-kasturi-nagar-bangalore-east-npxid-r413987,Bangalore
Shre Jwalamukhi Homes,₹ 42 L,2 BHK,"1,120 sq.ft.",2 BHK,https://www.99acres.com/shre-jwalamukhi-homes-hbr-layout-bangalore-east-npxid-r410444,Bangalore
Inspira Tropical Garden,₹ 72.92 L - 1.18 Cr,2 BHK,"1,118 - 1,364 sq.ft.",2 BHK,https://www.99acres.com/inspira-tropical-garden-electronic-city-phase-2-bangalore-south-npxid-r402418,Bangalore
Serenity Gardens by SNN Estates,₹ 71.11 L - 1.65 Cr,2 BHK,"733.89 - 1,010.2 sq.ft.",2 BHK,https://www.99acres.com/serenity-gardens-by-snn-estates-begur-road-bangalore-south-npxid-r394687,Bangalore
Vaswani Exquisite,₹ 2.08 - 4.12 Cr,3 BHK,"1,815 - 2,330 sq.ft.",3 BHK,https://www.99acres.com/vaswani-exquisite-whitefield-bangalore-east-npxid-r79340,Bangalore
Vaibhav Nagar,₹ 12 - 24 L,Land,"1,200 - 2,400 sq.ft.",Land,https://www.99acres.com/vaibhav-nagar-jangamakote-bangalore-north-npxid-r316865,Bangalore
SBR Minara,₹ 71.09 L - 2.74 Cr,2 BHK,920 - 945 sq.ft.,2 BHK,https://www.99acres.com/sbr-minara-whitefield-bangalore-east-npxid-r399073,Bangalore
Sowparnika Life On The Green,₹ 1.58 - 1.84 Cr,5 BHK,"2,136 - 2,483 sq.ft.",5 BHK,https://www.99acres.com/sowparnika-life-on-the-green-sarjapura-attibele-road-bangalore-south-npxid-r407935,Bangalore
Purva Blubelle,₹ 1.37 - 1.95 Cr,2 BHK,742.71 sq.ft.,2 BHK,https://www.99acres.com/purva-blubelle-magadi-road-bangalore-west-npxid-r407744,Bangalore
Adarsh Park Heights,₹ 1.07 - 1.76 Cr,1 BHK,301.39 sq.ft.,1 BHK,https://www.99acres.com/adarsh-park-heights-sarjapur-road-bangalore-east-npxid-r377796,Bangalore
Nestcons Iris,₹ 58.07 - 84.8 L,2 BHK,"1,045 - 1,183 sq.ft.",2 BHK,https://www.99acres.com/nestcons-iris-yelahanka-bangalore-north-npxid-r399523,Bangalore
Vaibhav Upavan,₹ 19.8 - 39.6 L,Land,"1,200 - 2,400 sq.ft.",Land,https://www.99acres.com/vaibhav-upavan-jangamakote-bangalore-north-npxid-r368250,Bangalore
SNR Safa,₹ 29.7 - 67.66 L,1 BHK,615 sq.ft.,1 BHK,https://www.99acres.com/snr-safa-sarjapur-road-bangalore-east-npxid-r402881,Bangalore
